NAmostra,Hidrogênio,Oxigênio,Nitrogênio,MonóxidoDeCarbono,DióxidoDeCarbono,Metano,Etileno,Etano,Acetileno,NBR7274,IEC60599,Laborelec,Rogers,Duval,Dornenburg,DiagReal
1,"1,6E+017","1,09E+020","1,16E+021","1,41E+018",1E+019,"1,2E+017",1E+016,6E+016,0,SF,NFD,NFD,SF,FTBMA,NFD,SF
2,"2,6E+017","4,19E+019","4,75E+020","3,3E+017","4,19E+018","4,2E+017",5E+016,"8,7E+017","1,3E+017",NFD,FTB,NFD,NFD,DER,NFD,DER
3,"7,62E+018","6,41E+019","6,44E+020","5,46E+018","1,35E+019","2,29E+018","2,56E+018","2,1E+017","5,54E+018",DAE,DERA,DERA,DAE,DER,DERA,DAE
4,"6,1E+017",0,0,"5,52E+018",0,"8,8E+017","2,35E+018",3E+017,1E+017,FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
5,"4,17E+018",0,0,"5,9E+018",0,"1,61E+018","3,1E+018","3,4E+017","1,19E+018",DAE,NFD,DERA,NFD,DAE,NFD,DAE
6,"1,9E+017","6,1E+019","7,64E+020","3,51E+018","2,28E+019",4E+016,3E+016,1E+016,0,FTB,NFD,NFD,NFD,FTBMA,NFD,SF
7,"3,1E+017",9E+019,"6,61E+020","5,18E+018","2,7E+019",8E+016,4E+016,4E+016,0,FTB,NFD,FTBMA,FTA,FTBMA,NFD,SF
8,2E+017,"1,95E+020","8,61E+020","3,86E+018","3,38E+019",5E+016,5E+016,3E+016,0,FTB,NFD,NFD,FTA,FTBMA,NFD,SF
9,"5,57E+018","1,77E+019","2,73E+020","2,77E+018","8,08E+018",3E+016,0,4E+016,8E+016,DPP,DPPA,DPPA,NFD,NFD,NFD,DAE
10,2E+016,"1,92E+020","6,51E+020","7,2E+017","3,6E+018",1E+016,7E+016,0,0,SF,NFD,NFD,SF,FTBMA,NFD,SF
11,"6,9E+017","2,68E+019","1,84E+020","1,19E+018","1,84E+019","1,5E+017",1E+016,"1,1E+017",2E+016,NFD,NFD,NFD,DER,FTBMA,NFD,DAE
12,"7,3E+017","1,42E+020","6,24E+020","1,31E+018","2,21E+019","1,7E+017",2E+016,"1,2E+017",6E+016,NFD,NFD,NFD,NFD,DER,NFD,DAE
13,"1,01E+018","1,14E+020","4,48E+020","1,33E+018","2,17E+019","1,9E+017",2E+016,"1,3E+017","1,1E+017",NFD,NFD,NFD,NFD,DER,NFD,DAE
14,"1,15E+018","3,76E+019","1,73E+020","1,32E+018","2,46E+019","1,9E+017",3E+016,"1,1E+017","1,5E+017",NFD,NFD,NFD,NFD,DER,NFD,DAE
15,3E+016,"4,2E+019",2E+020,5E+017,"3,1E+018",1E+016,1E+016,1E+016,0,FTB,NFD,NFD,NFD,FTBMA,NFD,SF
16,3E+017,5E+019,"2,92E+020","2,5E+018","7,5E+018",0,1E+017,4E+016,9E+016,NFD,NFD,NFD,NFD,DAE,DPPA,DAE
17,1E+018,3E+019,"6,3E+019","1,3E+018","3,4E+018","1,9E+017",7E+016,"1,3E+017",0,SF,NFD,NFD,SF,FTBMA,NFD,SF
18,"9,52E+018","5,04E+019","6,56E+020","1,84E+018","5,18E+018","3,84E+018","3,34E+018","6,1E+017","2,02E+018",DAE,DAE,DERA,DAE,DAE,NFD,DAE
19,3E+018,"3,6E+019","7,5E+020","1,7E+018","1,3E+019","1,2E+018",3E+017,"2,5E+018","9,6E+017",NFD,NFD,FTBMA,NFD,DER,NFD,DAE
20,"9,1E+017","2,44E+019","5,92E+020","8,5E+017","7,43E+018","9,5E+017","2,3E+017","2,09E+018","7,5E+017",NFD,FTB,FTBMA,NFD,DER,NFD,DER
21,"2,12E+018","3,32E+019","7,12E+020","1,03E+018","1,05E+019","1,11E+018","4,3E+017","2,74E+018","1,93E+018",NFD,NFD,FTBMA,NFD,DER,NFD,DER
22,"2,24E+018","1,89E+020","6,58E+020","4,42E+018","8,05E+018","7,4E+017","1,12E+018","2,6E+017","3,89E+018",DER,DER,FTBMA,DAE,DER,DERA,DAE
23,"2,16E+018","2,71E+020","7,77E+020","3,5E+017","1,62E+019","3,4E+017","1,12E+018","2,6E+017","3,89E+018",DER,DER,FTBMA,DAE,DER,DERA,SF
24,"3,02E+018","2,05E+020","6,13E+020","5,46E+018","1,33E+019","4,6E+017","9,8E+017",5E+016,"6,3E+017",DAE,DAE,NFD,DAE,DAE,NFD,DAE
25,"1,35E+018","1,38E+020","4,26E+020","3,32E+018","6,86E+018",6E+017,"2,82E+018","2,1E+017","9,9E+017",DAE,NFD,FTBMA,NFD,DAE,NFD,DAE
26,"3,07E+018","1,66E+020","5,26E+020","5,1E+018","8,31E+018","7,8E+017","1,55E+018",8E+016,"1,18E+018",DAE,DAE,DPPA,DAE,DAE,DERA,DAE
27,"2,71E+018","1,52E+020","7,1E+020","4,6E+018","1,41E+018","1,7E+017",2E+017,6E+016,"1,07E+018",NFD,NFD,DPPA,NFD,DER,NFD,DER
28,"2,79E+018","2,17E+020","8,26E+020","5,02E+018","2,22E+019",3E+017,"2,4E+017",7E+016,"1,3E+018",DER,DER,DPPA,DAE,DER,DERA,DER
29,"1,75E+018","1,79E+019","6,5E+020","1,74E+018","1,93E+019","4,4E+017","3,3E+017","4,9E+017","5,4E+017",NFD,NFD,NFD,NFD,DAE,NFD,DAE
30,"2,23E+018","1,35E+020","5,74E+020","2,29E+018","2,62E+019","1,2E+017",3E+016,"1,8E+017","1,6E+018",NFD,DPPA,DPPA,NFD,DER,NFD,DAE
31,"1,39E+018","1,97E+020","6,59E+020","2,66E+018","3,04E+019","1,9E+017","4,2E+017",7E+016,"1,97E+018",DER,DER,NFD,DAE,DER,DERA,DAE
32,"4,8E+019",7E+017,9E+018,"9,2E+018","3,95E+019","2,72E+018",4E+016,"5,8E+017",0,DPP,DPPA,DPPA,DPPA,DPPA,NFD,DPP
33,"1,28E+019","6,84E+019","7,27E+020","8,93E+018","3,59E+019","2,14E+018","3,4E+018","3,3E+017","5,57E+018",DAE,DERA,DERA,DAE,DAE,DERA,DAE
34,"1,81E+019","3,68E+020","1,27E+021","3,04E+018","2,63E+019","5,3E+018","6,1E+018","3,2E+017","1,12E+019",DAE,DERA,DERA,DAE,DAE,DERA,DAE
35,"1,92E+019",0,0,"1,18E+019","1,33E+020","2,77E+019","3,69E+019","5,3E+018","2,6E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
36,"1,87E+019",0,0,"1,26E+019","1,37E+020","2,9E+019","3,85E+019","5,8E+018","2,4E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
37,"4,5E+018","3,66E+020","1,22E+021","6,63E+018","4,82E+019","6,9E+017","5,6E+017","1,8E+017",1E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,FTB
38,"9,69E+018","1,5E+020","6,19E+020","6,04E+018","3,33E+019","1,66E+019","2,3E+019","4,52E+018",8E+016,FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
39,"1,33E+018","2,69E+020","6,31E+020","1,18E+018","5,87E+018","4,8E+017",2E+016,"1,5E+017",2E+016,NFD,NFD,NFD,DER,FTBMA,NFD,DER
40,"1,98E+018",0,0,"3,43E+018","5,39E+019","1,8E+018","1,56E+018","1,47E+018","1,2E+018",DER,NFD,FTBMA,DAE,DAE,NFD,DAE
41,"1,92E+018",0,0,"1,82E+018","6,56E+019","9,3E+017","1,4E+018","1,1E+017",0,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
42,"4,2E+017",1E+019,"4,4E+020","5,2E+017","3,6E+018",1E+016,1E+016,1E+016,0,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
43,"5,2E+017","3,7E+019","6,6E+020","1,8E+018","1,3E+019","1,2E+017",5E+016,4E+016,1E+016,DER,NFD,NFD,FTA,FTBMA,NFD,SF
44,"4,8E+017","1,2E+019","6,3E+019","2,5E+018","1,9E+019",8E+016,5E+016,7E+016,1E+017,NFD,NFD,NFD,DER,DER,NFD,SF
45,"3,9E+017","1,6E+020","7,3E+020",3E+018,"2,2E+019",9E+016,"1,2E+017",8E+016,"2,8E+017",DER,DER,NFD,DAE,DER,DERA,SF
46,"4,6E+017","1,29E+020","8,87E+020","5,42E+018","3,54E+019",5E+016,"3,7E+017",3E+016,0,NFD,NFD,FTBMA,NFD,FTBMA,NFD,SF
